ID,accession,Isolate_name,year,subgroup
C2,LC06604,EHD732J,2002,IA
C5,LC066413,KD302J,2006,IA
C6,LC066419,MED303J,2001,IA
C7,LC066416,MD965J,2001,IA
C11,LC066431,NND454J,2005,IA
C21,LC066461,IRNBRE5,2007,IA
C22,LC066464,IRNKHS1,2004,IB
C23,LC066467,IRNREY4,2004,IB
C24,LC066470,IRNREY6,2004,IB
C25,LC066473,IRNREY10,2004,IB
C26,LC066476,IRNSISSH64,2007,IB
C27,LC066479,IRNTIM1,2004,IA
C28,LC066482,IRNTVRa26,2006,IA
C29,LC066485,IRNWRN8,2008,IA
C30,LC066488,IRNWRN9,2008,IA
C31,LC066491,IRNWRN15,2008,IA
C32,LC066494,IRNWRSH41,2007,IA
C33,LC066497,IRNWRWA5,2008,IA
C34,LC066500,TUR4,2005,IA
C35,LC066503,TUR54,2007,IB
C36,LC066506,TUR81,2007,IB
C37,LC066509,TUR83,2007,IA
C38,LC066512,TUR84,2007,IA
C39,LC066515,TUR86,2007,IA
C40,LC066518,TUR89,2007,IA
C41,AB006813,m2,1954,II
C42,D12499,Y,1954,IA
C43,AB920779,m1,1960,IA
C45,Y18138,R,1969,II
C47,Y18137,I17F,1975,IA
C48,AB368501,PF,1982,II
C49,AB368498,42CM,1986,IA
C50,AB004781,D8,1992,IA
C53,AB189917,MT,2001,II
C54,GU327368,Z1,2004,IA
C55,JX014248,Va,2004,IA
C56,EF202597,Tsh,2005,II
C57,AB248752,ON,2005,IA
C58,EF153734,Ts,2005,IA
C59,JF279606,TfrIn,2005,IA
C60,GU327365,Rb,2005,IA
C62,HQ916354,Gd,2005,IA
C63,EF593025,Rauvolfia,2006,IB
C65,FJ268746,Cah1,2007,IA
C66,EU723569,PHz,2007,IA
C67,KC527730,RP1,2007,IB
C70,KC527733,RP4,2007,IB
C71,KC527734,RP5,2007,IB
C74,KC527737,RP8,2007,IB
C78,KC527741,RP12,2007,IB
C80,KC527743,RP14,2007,IB
C81,KC527744,RP15,2007,IB
C82,KC527745,RP16,2007,IB
C84,KC527747,RP18,2007,IB
C90,KC527753,RP25,2007,IB
C91,KC527754,RP26,2007,IA
C92,KC527755,RP27,2007,IA
C93,KC527756,RP28,2007,IA
C94,KC527757,RP29,2007,IB
C96,KC527759,RP31,2007,IB
C97,KC527760,RP33,2007,IB
C98,KC527761,RP34,2007,IB
C100,KC527763,RP38,2007,IB
C102,KC527765,RP40,2007,IB
C104,KC527767,RP42,2007,IB
C105,KC527768,RP44,2007,IB
C109,KC527772,RP48,2007,IB
C110,KC527773,RP49,2007,IB
C112,JF279605,TssIn,2008,II
C113,U002300,Mb,2008,II
C117,JX993911,Am,2011,IA
C118,KC407999,Hnt,2011,II
C120,KC019301,HB24,2011,IA
C121,KC693009,ZMBJ,2012,IA
C122,HG917910,Palampur,2013,II
C265,KM434206,SW11,2012,II
C266,KX883765,fly60335,2013,IA
C267,KX883819,WHWN52449,2014,II
C271,KX013372,SL,2014,II
C273,KP710850,ZBR,2014,IA
C274,KP710851,WHR,2014,IA
C275,KP710852,QDR,2014,IA
C276,KP710853,TAR,2014,IA
C279,KP165582,PV0187,1988,IA
C280,KM272275,KO,2013,IB
C281,KM272276,KP,2013,IB
C282,KJ874248,TNTNAUSG1,2013,IB
C283,KJ874249,TNTNVSG1,2013,IB
C284,KJ874250,TNNGKBoG1,2013,IA
C285,KR535607,CMVKoPF,2012,IA
C286,KT310082,RPDJ,2014,IB
C287,KP033526,GTN,2014,IB
C288,MH594046,JC,2018,IA
C289,MK015046,CimapLucknow,2017,IB
C290,MG021456,Ug90,2015,IB
C291,MG021459,Ug91,2015,IB
C292,MG021462,Ug92,2015,IB
C296,MG696856,SanVicente1,2017,IA
C297,MH360233,A,2015,IA
C298,MH360234,C1,2016,IA
C299,MH360235,C3,2016,IA
C300,MH360236,C4,2016,IA
C301,MH360237,C6,2016,IA
C302,MH360238,C7,2016,IA
C303,MH360258,C2,2016,IA
C304,MH567344,Kirinyaga1,2013,IA
C305,MH567349,Kirinyaga2,2013,IA
C306,MH567354,Kirinyaga3,2013,IA
C308,MH394190,Liaoning,2017,IA
C311,MF580923,hzEa1,2017,IA
C313,KY886411,SP,2014,IA
C315,LC363919,Co46,2017,IA
C317,MG182150,K,2016,IA
C318,MG025949,Rs,2016,IA
C320,KX525736,PV0506,1997,IA
C321,KX525737,PV0474,1997,IA
C322,KX525738,PV0184,1988,II
