ID,accession,country,host,sampling_date,accompanied_CMV_subgroup
CM001,A10086,-,-,1975/1/1,unknown
CM007,AB448699,Syria,Solanumtuberosum,2006/9/1,IA
CM008,AB448700,Syria,Solanumtuberosum,2006/9/1,IA
CM009,AB448701,Syria,Solanumtuberosum,2006/9/1,IA
CM010,AB448702,Syria,Solanumtuberosum,2006/9/1,IA
CM011,AB448703,Syria,Solanumtuberosum,2006/9/1,IA
CM012,AB570294,-,Capsicumannuum,2000/8/15,IA
CM013,AB570295,-,Alkekengiofficinarum,2000/8/15,IA
CM023,D00541,France,-,1969/1/1,IA
CM024,D00542,Japan,-,1954/1/1,IA
CM025,D00699,Japan,-,1989/1/1,unknown
CM026,D10036,Japan,Spinacheaoleracea,1990/1/1,unknown
CM027,D10037,Japan,tobacco,1990/1/1,unknown
CM029,D10039,Japan,tobacco,1990/1/1,unknown
CM030,D11048,Japan,tomato,1989/1/1,unknown
CM031,D11049,-,-,1989/1/1,unknown
CM032,D11050,-,-,1989/1/1,unknown
CM033,D11051,-,-,1989/1/1,unknown
CM034,D11052,-,-,1989/1/1,unknown
CM035,D11053,-,-,1989/1/1,unknown
CM036,D28559,Japan,tomato,1984/1/1,unknown
CM069,JF834526,USA,Phaseolusvulgaris,2010/1/1,I
CM070,JF918968,USA,Vincaminor,2010/3/1,II
CM071,JF918969,USA,Vincaminor,2010/3/1,II
CM072,JF918970,USA,Vincaminor,2010/3/1,II
CM073,JF918971,USA,Vincaminor,2010/3/1,I
CM074,JF918972,USA,Vincaminor,2010/3/1,I
CM075,JF918973,USA,Vincaminor,2010/3/1,I
CM076,JF918974,USA,Vincaminor,2010/3/1,I
CM077,JF918975,USA,Vincaminor,2010/3/1,I
CM078,JN029953,USA,Phaseolusvulgaris,2009/1/1,I
CM079,KC415034,USA,Phaseolusvulgaris,2011/1/1,unknown
CM080,KC713593,CotedIvoire,Musa,2011/8/1,IA
CM081,KC985206,USA,Pratiapedunculata,2012/6/1,II
CM082,KC985207,USA,Pratiapedunculata,2012/6/1,II
CM083,KC985208,USA,Pratiapedunculata,2012/6/1,II
CM084,KC985209,USA,Pratiapedunculata,2012/6/1,II
CM085,KC985210,USA,Pratiapedunculata,2012/6/1,II
CM086,KJ127541,Mexico,Nicotianaglauca,2010/2/10,unknown
CM087,KJ127542,Mexico,Nicotianaglauca,2010/2/10,unknown
CM088,KM358138,Serbia,Solanumlycopersicum,2012/1/1,I
CM089,KM358139,Serbia,Solanumlycopersicum,2012/1/1,I
CM090,KP719209,Serbia,Solanumlycopersicum,2014/1/1,unknown
CM091,KT270485,Serbia,Peperomiatuisana,2012/1/1,unknown
CM092,KT270486,Serbia,Solanumlycopersicum,2008/1/1,unknown
CM093,KT382258,Greece,Phaseolusvulgaris,2011/1/1,IA
CM094,KT382259,Greece,Solanumlycopersicum,2011/1/1,IB
CM095,KT382260,Greece,Phaseolusvulgaris,2011/1/1,IA
CM096,KT382261,Greece,Phaseolusvulgaris,2011/1/1,IA
CM097,KT382262,Greece,Vignaunguiculata,2011/1/1,IB
CM098,KT382263,Greece,Phaseolusvulgaris,2011/1/1,unknown
CM099,KT382264,Greece,Lensculinaris,2011/1/1,unknown
CM100,KT382265,Greece,Vignaunguiculata,2011/1/1,IB
CM101,KT382266,Greece,Phaseolusvulgaris,2011/1/1,IA
CM102,KT382267,Greece,Phaseoluscoccineus,2011/1/1,IB
CM103,KT382268,Greece,Lensculinaris,2011/1/1,unknown
CM104,KT382269,Greece,Lensculinaris,2011/1/1,unknown
CM105,KU144672,Mexico,Dianthuscaryophyllus,2013/6/10,I
CM106,KU144673,Mexico,Dianthuscaryophyllus,2013/6/10,I
CM107,KU169300,Mexico,Physalisixocarpa,2014/6/10,unknown
CM108,KU169301,Mexico,Physalisixocarpa,2014/6/10,unknown
CM109,KY747451,China,Brassicaoleraceavarcapitata,2016/7/15,unknown
CM110,KY747452,China,Solanumlycopersicum,2016/7/15,unknown
CM111,KY747453,China,Raphanussativus,2016/7/15,unknown
CM112,KY747454,China,Nicotianatabacum,2016/6/15,unknown
CM113,LC593249,Japan,Arabidopsishalleri,2016/4/1,IA
CM135,MF142363,China,Brassicaoleraceavarcapitata,2016/8/30,unknown
CM136,MF142364,China,Raphanussativus,2016/8/30,unknown
CM137,MF142365,China,Nicotianatabacum,2016/8/30,unknown
CM138,MF964233,Serbia,Solanumlycopersicum,2015/1/1,unknown
CM139,MH032565,Serbia,Solanumlycopersicum,2015/1/1,unknown
CM140,MH032566,Serbia,Solanumlycopersicum,2015/1/1,unknown
CM141,MH032567,Serbia,Solanumlycopersicum,2015/1/1,unknown
CM142,MH032568,Serbia,Solanumlycopersicum,2015/1/1,unknown
CM143,MH633496,Mexico,Nicotianaglauca,2017/11/5,unknown
CM144,MH633497,Mexico,Nicotianaglauca,2017/11/5,unknown
CM145,MK552322,Mexico,Catharanthusroseus,2017/1/10,unknown
CM146,MT968975,CotedIvoire,Musa,2011/8/1,IA
CM147,MT968976,CotedIvoire,Musa,2011/8/1,IA
CM148,MT968977,CotedIvoire,Musa,2011/8/1,IA
CM149,MT968978,CotedIvoire,Musa,2011/8/1,IA
CM150,MT968979,CotedIvoire,Musa,2011/8/1,IA
CM151,MT968980,CotedIvoire,Musa,2011/8/1,IA
CM152,MT968981,CotedIvoire,Musa,2011/8/1,IA
CM153,MT968982,CotedIvoire,Musa,2011/8/1,IA
CM154,MT968983,CotedIvoire,Musa,2011/8/1,IA
CM155,MT968984,CotedIvoire,Musa,2011/8/1,IA
CM156,MT968985,CotedIvoire,Musa,2011/8/1,IA
CM157,MT968986,CotedIvoire,Musa,2011/8/1,IA
CM158,MT968987,CotedIvoire,Musa,2011/8/1,IA
CM159,MT968988,CotedIvoire,Musa,2011/8/1,IA
CM160,MW271947,Greece,Cucumismelo,2015/4/1,IA
CM161,MW271948,Greece,Cucumismelo,2015/7/1,IA
CM162,MW271949,Greece,Solanumlycopersicum,2015/4/1,IA
CM163,MW271950,Greece,Solanumlycopersicum,2015/7/1,IA
CM166,ON013884,Australia,Capsicum,1988/1/1,unknown
CM168,ON493793,Slovakia,Solanumlycopersicum,2019/6/15,II
CM169,ON493794,Slovakia,Solanumlycopersicum,2019/6/15,II
CM170,ON493795,Slovakia,Cucumismelo,2019/6/15,IA
CM171,ON493796,Slovakia,Cucurbitapepo,2019/6/15,IA
CM176,U43889,Israel,Musaacuminata,1995/1/1,IA
CM184,X86408,-,Solanumlycopersicum,1990/1/1,II
CM185,X86409,-,Solanumlycopersicum,1990/1/1,II
CM186,X86410,-,Solanumlycopersicum,1990/1/1,II
CM187,X86411,-,Solanumlycopersicum,1990/1/1,II
CM188,X86412,-,Solanumlycopersicum,1990/1/1,II
CM189,X86413,-,Solanumlycopersicum,1990/1/1,II
CM190,X86414,-,Solanumlycopersicum,1990/1/1,II
CM191,X86415,-,Solanumlycopersicum,1990/1/1,II
CM192,X86416,-,Solanumlycopersicum,1993/1/1,I
CM193,X86417,-,Nicotianatabacum,1993/1/1,I
CM194,X86418,-,Solanumlycopersicum,1993/1/1,II
CM195,X86419,-,Solanumlycopersicum,1993/1/1,I
CM196,X86420,-,Solanumlycopersicum,1993/1/1,unknown
CM197,X86421,-,Nicotianatabacum,1993/1/1,I
CM198,X86422,-,Nicotianatabacum,1993/1/1,I
CM199,X86423,-,Solanumlycopersicum,1993/1/1,I
CM200,X86424,-,Nicotianaglauca,1993/1/1,I
CM201,X86425,-,ApiumgraveolensDulceGroup,1990/1/1,I
CM202,X86426,-,Solanumlycopersicum,1988/1/1,II
CM203,X86708,-,Solanumlycopersicum,1993/1/1,II
CM206,Z75870,-,-,1989/1/16,unknown
CM207,Z75871,-,-,1991/1/4,unknown
CM208,Z75872,-,-,1989/1/19,unknown
CM209,Z75873,-,-,1989/2/20,unknown
CM210,Z75874,-,-,1989/1/24,unknown
CM211,Z75875,-,-,1989/1/12,unknown
CM212,Z75876,-,-,1989/1/20,unknown
CM213,Z75877,-,-,1990/1/16,unknown
CM214,Z75878,-,-,1990/1/15,unknown
CM215,Z75879,-,-,1990/1/20,unknown
CM216,Z75880,-,-,1990/1/20,unknown
CM217,Z75881,-,-,1990/1/21,unknown
CM218,Z75882,-,-,1991/2/2,unknown
CM219,Z75883,-,-,1990/1/5,unknown
CM220,Z75884,-,-,1991/1/3,unknown
CM221,Z75885,-,-,1989/4/3,unknown
CM222,Z75886,-,-,1991/1/8,unknown
